abstract,author,n_cited,n_reference,paper,title,year
"We report a theoretical investigation on Goose-Hanchen (GH) effect for spin electrons across a magnetically confined GaAs/AlxGa1-xAs microstructure modulated by spin-orbit coupling [(SOC), including Rashba and Dresselhaus types]. An intrinsic symmetry in the device is broken by SOC, which gives rise to a considerable spin polarization effect in GH shifts of electrons. Both magnitude and direction of spin polarization can be manipulated by Rashba or Dresselhaus SOC, i.e., interfacial confining electric field or strain engineering. Based on such a semiconductor microstructure, a controllable spatial spin splitter can be proposed for spintronics applications.","Lu, MW; Chen, SY; Huang, XH; Zhang, GL",0,36,IEEE JOURNAL OF THE ELECTRON DEVICES SOCIETY,Spin Splitter Based on Magnetically Confined Semiconductor Microstructure Modulated by Spin-Orbit Coupling,2018
"We observed positive and negative Goos-Hanchen (GH) shifts in plasmon-induced transparency (PIT) in a metal-insulator-metal (MIM) multi-layer structure based on the attenuated total reflection response. Here, the MIM waveguide (WG) mode and the surface plasmon polariton (SPP) resonance act as low-and high-Q resonances, respectively. SPP also induced the transparency window in otherwise opaque wavenumber (k) regions. The observed GH shifts were caused by the relevant k-domain dispersion in PIT, which is controllable through the adjustment of the coupling strength between the MIM WG and SPP resonances. This effect, thus, can be recognized as a rigorous counterpart of slow light in electromagnetically induced transparency and other related phenomena in the frequency domain. The tunable GH shift in PIT in a MIM structure would enable applications in beam steering devices and high-sensitivity sensors. Published by AIP Publishing.","Hirai, Y; Matsunaga, K; Neo, Y; Matsumoto, T; Tomita, M",0,39,APPLIED PHYSICS LETTERS,Observation of Goos-Hanchen shift in plasmon-induced transparency,2018
"We study the influence of the thermo-optic effect and of thermal expansion on the lateral shift experienced by a Gaussian near-infrared beam upon reflection from a voltage-controlled nematic liquid crystal cell deposited on a magnetic yttrium-iron garnet film. Variations of temperature are considered in the range between room temperature and the nematic-isotropic phase transition temperature of the liquid crystal and induce changes in both the layer thicknesses and the permittivity tensor components of the constituents. We show that for all polarization configurations of the incoming and reflected beams, these changes modify the amplitude of the extrema of the lateral beam shift and their position with respect to the incidence angle of the beam and, except in the s-s polarization configuration, to the voltage applied to the liquid crystal cell. In the p-p and p-s polarization configurations, this drift can thus be controlled at some incidence angles by tuning the applied voltage. Moreover, in the p-s configuration, the lateral shift can be also controlled by a magnetization reversal in the magnetic layer. Finally, we discuss the possibility of temperature monitoring using the temperature dependence of the lateral shift in this system. Published by AIP Publishing.","Dadoenkova, YS; Bentivegna, FFL; Petrov, RV; Bichurin, MI",0,41,JOURNAL OF APPLIED PHYSICS,Thermal dependence of the lateral shift of a light beam reflected from a liquid crystal cell deposited on a magnetic film,2018
"The characteristics of an incident Gaussian monochromatic light beam at sharp critical angle are investigated and analyzed. The numerical results are obtained using fast Fourier transform based beam propagation method (FFT-BPM). In this study, we adapt the FFT-transverse electric (TE) polarizations. The field properties in the denser and rare medium are carefully examined. Further, the Goos-Hanchen (GH) shift is calculated based on the lateral field using the FFT-BPM at sharp critical angle which cannot be obtained by other analytical methods. Moreover, the effects of the wavelength and denser medium refractive index on the GH shift are also investigated. The calculated results are in good agreement with that introduced in the literature. Moreover, the suggested analysis could shed light on more accurate modeling techniques for the GH shift calculation and its impact on the relevant photonic applications. In this regard, the calculated GH shifts at sharp critical angle are used for monitoring glucose concentration variations in biomedical applications with high sensitivity. Additionally, we presented for the first time to the authors' knowledge- the effect of the incident field pattern such as: Lorentz-Gauss, Super-Gaussian, Super-Lorentzian, and super-Lorentz-Gauss on the GH calculations. (C) 2017 Elsevier GmbH. All rights reserved.","Shaaban, A; Hamee, MFO; Gomaa, LR; Obayya, SSA",0,54,OPTIK,Accurate calculation of Goos-Hanchen shift at critical angle for complex laser beam profiles using beam propagation method,2018
"A new scheme focusing on modification and control of distortion in the reflection and transmission of Goos-Hanchen (GH) shifted beams, is discussed. The absorptivity, reflectivity, and transmissivity are measured for the new atomic scheme. The GH-shifted beam is modified by control fields and incident angle. The sum of absorption, transmission, and reflection coefficients is equal to one. For positive reflection GH-shift region, there is negative transmission GH shift. The distortion in the reflected and transmitted beam is controlled with incident angle and control fields. The results discussed in this article show significant applications in micro-optics and nano-optics, acoustics, and plasma physics.","Khan, H; Haneef, M",0,27,CANADIAN JOURNAL OF PHYSICS,Distortion management of the Goos-Hanchen shifts in reflection-transmission beams,2018
"In this paper, we discuss the transmission properties of weak probe laser field propagate through slab cavity with defect layer of carbon-nanotube quantum dot (CNT-QD) nanostructure. We show that due to spin-orbit coupling, the double electromagnetically induced transparency (EIT) windows appear and the giant Kerr nonlinearity of the intracavity medium can lead to manipulating of transmission coefficient of weak probe light. The thickness effect of defect layer medium has also been analyzed on transmission properties of probe laser field. Our proposed model may be useful for integrated photonics devices based on CNT-QD for applications in all-optical systems which require multiple EIT effect.","Solookinejad, G; Jabbari, M; Sangachin, EA; Asadpour, SH",0,48,INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,Theoretical Investigation of Light Transmission in a Slab Cavity via Kerr Nonlinearity of Carbon Nanotube Quantum Dot Nanostructure,2018
"We demonstrated tailored plasmon-induced transparency (PIT) in a metal (Au)-insulator (SiO2)-metal (Ag) (MIM) structure, where the Fano interference between the MIM waveguide mode and the surface plasmon polariton (SPP) resonance mode induced a transparency window in an otherwise opaque wavenumber (k) region. A series of structures with different thicknesses of the Ag layer were prepared and the attenuated total reflection (ATR) response was examined. The height and width of the transparency window, as well as the relevant k-domain dispersion, were controlled by adjusting the Ag layer thickness. To confirm the dependency of PIT on Ag layer thickness, we performed numerical calculations to determine the electric field amplitude inside the layers. The steep k-domain dispersion in the transparency window is capable of creating a lateral beam shift known as the Goos-Hanchen shift, for optical device and sensor applications. We also discuss the Fano interference profiles in a omega - k two-dimensional domain on the basis of Akaike information criteria.","Matsunaga, K; Hirai, Y; Neo, Y; Matsumoto, T; Tomita, M",1,42,SCIENTIFIC REPORTS,Tailored plasmon-induced transparency in attenuated total reflection response in a metal-insulator-metal structure,2017
"A proposal on high-resolution electro-optical beam steering is conceptualized analytically using a long-range surface plasmon resonance configuration comprising a liquid crystal layer of E44 for 1550 nm wavelength. With the tuning of the refractive index of E44 through variations of applied voltage from 0 to 10 V, an optical beam steering can be attained considering the composite effect of spatial and angular Goos - Hanchen and Imbert Fedorov shifts. As compared with the existing beam shift processes in mu rad by mechanical means, here, the computed angular resolution is 3.40 nrad. The proposed idea finds a new avenue in the field of pulse generation, optical sensor applications, and atomic force microscopy, mitigating existing drawbacks. (C) 2017 Optical Society of America","Kar, A; Goswami, N; Saha, A",0,45,APPLIED OPTICS,Analysis of high-resolution electro-optical beam steering by long-range surface plasmon resonance using a ZnSe prism,2017
"We propose a method of realizing an effective beam splitter for Dirac-Weyl fermions through the Goos-Hanchen-like shift. It is implemented via the birefringence of a wave packet of pseudospin-3/2 Dirac-Weyl fermions impinging upon a potential barrier. It is shown that experimentally observable spatial separation between the transmitted fermions with helicity-1 /2 and 3/2 can be generated by the Goos-Hanchen-like shift. The dependence of Goos-Hanchen-like shift and the corresponding transmission probability on the incident angle, the height and width of the potential barrier are carefully studied. (C) 2017 Elsevier B.V. All rights reserved.","Zheng, RF; Zhou, L; Zhang, WP",0,37,PHYSICS LETTERS A,A beam splitter for Dirac-Weyl fermions through the Goos-Hanchen-like shift,2017
"The spin splitting of light beams carrying orbital angular momentum (OAM) is investigated theoretically in attenuated internal reflection in the Kretschmann configuration. The excitation of the surface plasmon resonance (SPR) can significantly enhance the OAM-induced Imbert-Fedorov (IF) shift and the OAM-dependent spin splitting. The cooperation effect of these two shifts will result in an asymmetric spin splitting, which varies with the incident angle and polarization state. Specially, at the SPR angle, the OAMinduced IF shift vanishes, and the OAM-dependent spin splitting will cause a symmetric spin splitting. However, when the incident beam is horizontally polarized, the OAMinduced IF shift predominates. Thus the two spin components of the reflected will not be split; instead, they will be shifted together. This flexible control of the optical spin splitting can find applications in quantum information and precision metrology. (C) 2017 Optical Society of America","Zhu, WG; Zhuo, LQ; Jiang, MJ; Guan, HY; Yu, JH; Lu, HH; Luo, YH; Zhang, J; Chen, Z",0,27,OPTICS LETTERS,Controllable symmetric and asymmetric spin splitting of Laguerre-Gaussian beams assisted by surface plasmon resonance,2017
